|                 Tasks                  |Version|Filter|n-shot|Metric|Value |   |Stderr|
|----------------------------------------|-------|------|-----:|------|-----:|---|-----:|
|ewok_filtered                           |N/A    |none  |     0|acc   |0.4976|±  |0.0057|
| - ewok_agent-properties_filtered       |      1|none  |     0|acc   |0.4982|±  |0.0106|
| - ewok_material-dynamics_filtered      |      1|none  |     0|acc   |0.4948|±  |0.0180|
| - ewok_material-properties_filtered    |      1|none  |     0|acc   |0.5000|±  |0.0385|
| - ewok_physical-dynamics_filtered      |      1|none  |     0|acc   |0.5000|±  |0.0458|
| - ewok_physical-interactions_filtered  |      1|none  |     0|acc   |0.4928|±  |0.0212|
| - ewok_physical-relations_filtered     |      1|none  |     0|acc   |0.4963|±  |0.0175|
| - ewok_quantitative-properties_filtered|      1|none  |     0|acc   |0.5064|±  |0.0283|
| - ewok_social-interactions_filtered    |      1|none  |     0|acc   |0.5000|±  |0.0292|
| - ewok_social-properties_filtered      |      1|none  |     0|acc   |0.4970|±  |0.0276|
| - ewok_social-relations_filtered       |      1|none  |     0|acc   |0.4987|±  |0.0127|
| - ewok_spatial-relations_filtered      |      1|none  |     0|acc   |0.4898|±  |0.0226|

|   Groups    |Version|Filter|n-shot|Metric|Value |   |Stderr|
|-------------|-------|------|-----:|------|-----:|---|-----:|
|ewok_filtered|N/A    |none  |     0|acc   |0.4976|±  |0.0057|

