|                                Tasks                                |Version|Filter|n-shot|Metric|Value |   |Stderr|
|---------------------------------------------------------------------|-------|------|-----:|------|-----:|---|-----:|
|blimp_supplement                                                     |N/A    |none  |     0|acc   |0.6063|±  |0.0064|
| - blimp_supplement_hypernym                                         |      1|none  |     0|acc   |0.5463|±  |0.0172|
| - blimp_supplement_qa_congruence_easy                               |      1|none  |     0|acc   |0.6875|±  |0.0584|
| - blimp_supplement_qa_congruence_tricky                             |      1|none  |     0|acc   |0.5091|±  |0.0390|
| - blimp_supplement_subject_aux_inversion                            |      1|none  |     0|acc   |0.7277|±  |0.0072|
| - blimp_supplement_turn_taking                                      |      1|none  |     0|acc   |0.5607|±  |0.0297|
|blimp_filtered                                                       |N/A    |none  |     0|acc   |0.5071|±  |0.0019|
| - blimp_adjunct_island_filtered                                     |      1|none  |     0|acc   |0.6401|±  |0.0158|
| - blimp_anaphor_gender_agreement_filtered                           |      1|none  |     0|acc   |0.5335|±  |0.0160|
| - blimp_anaphor_number_agreement_filtered                           |      1|none  |     0|acc   |0.6348|±  |0.0158|
| - blimp_animate_subject_passive_filtered                            |      1|none  |     0|acc   |0.5441|±  |0.0167|
| - blimp_animate_subject_trans_filtered                              |      1|none  |     0|acc   |0.4724|±  |0.0164|
| - blimp_causative_filtered                                          |      1|none  |     0|acc   |0.5086|±  |0.0175|
| - blimp_complex_NP_island_filtered                                  |      1|none  |     0|acc   |0.4492|±  |0.0171|
| - blimp_coordinate_structure_constraint_complex_left_branch_filtered|      1|none  |     0|acc   |0.2196|±  |0.0138|
| - blimp_coordinate_structure_constraint_object_extraction_filtered  |      1|none  |     0|acc   |0.5374|±  |0.0162|
| - blimp_determiner_noun_agreement_1_filtered                        |      1|none  |     0|acc   |0.6459|±  |0.0157|
| - blimp_determiner_noun_agreement_2_filtered                        |      1|none  |     0|acc   |0.6874|±  |0.0152|
| - blimp_determiner_noun_agreement_irregular_1_filtered              |      1|none  |     0|acc   |0.4846|±  |0.0192|
| - blimp_determiner_noun_agreement_irregular_2_filtered              |      1|none  |     0|acc   |0.4159|±  |0.0172|
| - blimp_determiner_noun_agreement_with_adj_2_filtered               |      1|none  |     0|acc   |0.5494|±  |0.0162|
| - blimp_determiner_noun_agreement_with_adj_irregular_1_filtered     |      1|none  |     0|acc   |0.6602|±  |0.0177|
| - blimp_determiner_noun_agreement_with_adj_irregular_2_filtered     |      1|none  |     0|acc   |0.6929|±  |0.0159|
| - blimp_determiner_noun_agreement_with_adjective_1_filtered         |      1|none  |     0|acc   |0.4898|±  |0.0164|
| - blimp_distractor_agreement_relational_noun_filtered               |      1|none  |     0|acc   |0.5165|±  |0.0178|
| - blimp_distractor_agreement_relative_clause_filtered               |      1|none  |     0|acc   |0.3720|±  |0.0164|
| - blimp_drop_argument_filtered                                      |      1|none  |     0|acc   |0.5076|±  |0.0165|
| - blimp_ellipsis_n_bar_1_filtered                                   |      1|none  |     0|acc   |0.5087|±  |0.0177|
| - blimp_ellipsis_n_bar_2_filtered                                   |      1|none  |     0|acc   |0.5326|±  |0.0173|
| - blimp_existential_there_object_raising_filtered                   |      1|none  |     0|acc   |0.4901|±  |0.0176|
| - blimp_existential_there_quantifiers_1_filtered                    |      1|none  |     0|acc   |0.3903|±  |0.0160|
| - blimp_existential_there_quantifiers_2_filtered                    |      1|none  |     0|acc   |0.1844|±  |0.0129|
| - blimp_existential_there_subject_raising_filtered                  |      1|none  |     0|acc   |0.3409|±  |0.0156|
| - blimp_expletive_it_object_raising_filtered                        |      1|none  |     0|acc   |0.5362|±  |0.0181|
| - blimp_inchoative_filtered                                         |      1|none  |     0|acc   |0.4409|±  |0.0170|
| - blimp_intransitive_filtered                                       |      1|none  |     0|acc   |0.4862|±  |0.0170|
| - blimp_irregular_past_participle_adjectives_filtered               |      1|none  |     0|acc   |0.6004|±  |0.0158|
| - blimp_irregular_past_participle_verbs_filtered                    |      1|none  |     0|acc   |0.4989|±  |0.0163|
| - blimp_irregular_plural_subject_verb_agreement_1_filtered          |      1|none  |     0|acc   |0.5100|±  |0.0176|
| - blimp_irregular_plural_subject_verb_agreement_2_filtered          |      1|none  |     0|acc   |0.5011|±  |0.0168|
| - blimp_left_branch_island_echo_question_filtered                   |      1|none  |     0|acc   |0.5121|±  |0.0163|
| - blimp_left_branch_island_simple_question_filtered                 |      1|none  |     0|acc   |0.3312|±  |0.0153|
| - blimp_matrix_question_npi_licensor_present_filtered               |      1|none  |     0|acc   |0.0484|±  |0.0070|
| - blimp_npi_present_1_filtered                                      |      1|none  |     0|acc   |0.5336|±  |0.0166|
| - blimp_npi_present_2_filtered                                      |      1|none  |     0|acc   |0.5580|±  |0.0164|
| - blimp_only_npi_licensor_present_filtered                          |      1|none  |     0|acc   |0.5488|±  |0.0168|
| - blimp_only_npi_scope_filtered                                     |      1|none  |     0|acc   |0.0621|±  |0.0083|
| - blimp_passive_1_filtered                                          |      1|none  |     0|acc   |0.5060|±  |0.0173|
| - blimp_passive_2_filtered                                          |      1|none  |     0|acc   |0.5028|±  |0.0166|
| - blimp_principle_A_c_command_filtered                              |      1|none  |     0|acc   |0.4810|±  |0.0163|
| - blimp_principle_A_case_1_filtered                                 |      1|none  |     0|acc   |0.3048|±  |0.0153|
| - blimp_principle_A_case_2_filtered                                 |      1|none  |     0|acc   |0.4536|±  |0.0165|
| - blimp_principle_A_domain_1_filtered                               |      1|none  |     0|acc   |0.9628|±  |0.0063|
| - blimp_principle_A_domain_2_filtered                               |      1|none  |     0|acc   |0.5464|±  |0.0165|
| - blimp_principle_A_domain_3_filtered                               |      1|none  |     0|acc   |0.4655|±  |0.0163|
| - blimp_principle_A_reconstruction_filtered                         |      1|none  |     0|acc   |0.5481|±  |0.0160|
| - blimp_regular_plural_subject_verb_agreement_1_filtered            |      1|none  |     0|acc   |0.4438|±  |0.0167|
| - blimp_regular_plural_subject_verb_agreement_2_filtered            |      1|none  |     0|acc   |0.4995|±  |0.0163|
| - blimp_sentential_negation_npi_licensor_present_filtered           |      1|none  |     0|acc   |0.4603|±  |0.0165|
| - blimp_sentential_negation_npi_scope_filtered                      |      1|none  |     0|acc   |0.4914|±  |0.0169|
| - blimp_sentential_subject_island_filtered                          |      1|none  |     0|acc   |0.3954|±  |0.0158|
| - blimp_superlative_quantifiers_1_filtered                          |      1|none  |     0|acc   |0.4974|±  |0.0160|
| - blimp_superlative_quantifiers_2_filtered                          |      1|none  |     0|acc   |0.5325|±  |0.0159|
| - blimp_tough_vs_raising_1_filtered                                 |      1|none  |     0|acc   |0.8302|±  |0.0122|
| - blimp_tough_vs_raising_2_filtered                                 |      1|none  |     0|acc   |0.6000|±  |0.0162|
| - blimp_transitive_filtered                                         |      1|none  |     0|acc   |0.4965|±  |0.0170|
| - blimp_wh_island_filtered                                          |      1|none  |     0|acc   |0.5417|±  |0.0161|
| - blimp_wh_questions_object_gap_filtered                            |      1|none  |     0|acc   |0.4750|±  |0.0170|
| - blimp_wh_questions_subject_gap_filtered                           |      1|none  |     0|acc   |0.8396|±  |0.0123|
| - blimp_wh_questions_subject_gap_long_distance_filtered             |      1|none  |     0|acc   |0.9207|±  |0.0092|
| - blimp_wh_vs_that_no_gap_filtered                                  |      1|none  |     0|acc   |0.9535|±  |0.0072|
| - blimp_wh_vs_that_no_gap_long_distance_filtered                    |      1|none  |     0|acc   |0.4091|±  |0.0166|
| - blimp_wh_vs_that_with_gap_filtered                                |      1|none  |     0|acc   |0.5996|±  |0.0162|
| - blimp_wh_vs_that_with_gap_long_distance_filtered                  |      1|none  |     0|acc   |0.0440|±  |0.0068|

|     Groups     |Version|Filter|n-shot|Metric|Value |   |Stderr|
|----------------|-------|------|-----:|------|-----:|---|-----:|
|blimp_supplement|N/A    |none  |     0|acc   |0.6063|±  |0.0064|
|blimp_filtered  |N/A    |none  |     0|acc   |0.5071|±  |0.0019|
