|                                Tasks                                |Version|Filter|n-shot|Metric|Value |   |Stderr|
|---------------------------------------------------------------------|-------|------|-----:|------|-----:|---|-----:|
|blimp_supplement                                                     |N/A    |none  |     0|acc   |0.5842|±  |0.0066|
| - blimp_supplement_hypernym                                         |      1|none  |     0|acc   |0.5404|±  |0.0172|
| - blimp_supplement_qa_congruence_easy                               |      1|none  |     0|acc   |0.6094|±  |0.0615|
| - blimp_supplement_qa_congruence_tricky                             |      1|none  |     0|acc   |0.5697|±  |0.0387|
| - blimp_supplement_subject_aux_inversion                            |      1|none  |     0|acc   |0.6837|±  |0.0075|
| - blimp_supplement_turn_taking                                      |      1|none  |     0|acc   |0.5179|±  |0.0299|
|blimp_filtered                                                       |N/A    |none  |     0|acc   |0.5025|±  |0.0018|
| - blimp_adjunct_island_filtered                                     |      1|none  |     0|acc   |0.6293|±  |0.0159|
| - blimp_anaphor_gender_agreement_filtered                           |      1|none  |     0|acc   |0.3780|±  |0.0156|
| - blimp_anaphor_number_agreement_filtered                           |      1|none  |     0|acc   |0.5231|±  |0.0164|
| - blimp_animate_subject_passive_filtered                            |      1|none  |     0|acc   |0.5665|±  |0.0166|
| - blimp_animate_subject_trans_filtered                              |      1|none  |     0|acc   |0.6230|±  |0.0160|
| - blimp_causative_filtered                                          |      1|none  |     0|acc   |0.4597|±  |0.0174|
| - blimp_complex_NP_island_filtered                                  |      1|none  |     0|acc   |0.4350|±  |0.0171|
| - blimp_coordinate_structure_constraint_complex_left_branch_filtered|      1|none  |     0|acc   |0.1865|±  |0.0129|
| - blimp_coordinate_structure_constraint_object_extraction_filtered  |      1|none  |     0|acc   |0.4552|±  |0.0162|
| - blimp_determiner_noun_agreement_1_filtered                        |      1|none  |     0|acc   |0.5597|±  |0.0163|
| - blimp_determiner_noun_agreement_2_filtered                        |      1|none  |     0|acc   |0.5671|±  |0.0162|
| - blimp_determiner_noun_agreement_irregular_1_filtered              |      1|none  |     0|acc   |0.5037|±  |0.0192|
| - blimp_determiner_noun_agreement_irregular_2_filtered              |      1|none  |     0|acc   |0.4463|±  |0.0174|
| - blimp_determiner_noun_agreement_with_adj_2_filtered               |      1|none  |     0|acc   |0.5027|±  |0.0163|
| - blimp_determiner_noun_agreement_with_adj_irregular_1_filtered     |      1|none  |     0|acc   |0.5752|±  |0.0185|
| - blimp_determiner_noun_agreement_with_adj_irregular_2_filtered     |      1|none  |     0|acc   |0.6167|±  |0.0168|
| - blimp_determiner_noun_agreement_with_adjective_1_filtered         |      1|none  |     0|acc   |0.5230|±  |0.0164|
| - blimp_distractor_agreement_relational_noun_filtered               |      1|none  |     0|acc   |0.3426|±  |0.0169|
| - blimp_distractor_agreement_relative_clause_filtered               |      1|none  |     0|acc   |0.3904|±  |0.0165|
| - blimp_drop_argument_filtered                                      |      1|none  |     0|acc   |0.4707|±  |0.0165|
| - blimp_ellipsis_n_bar_1_filtered                                   |      1|none  |     0|acc   |0.5262|±  |0.0176|
| - blimp_ellipsis_n_bar_2_filtered                                   |      1|none  |     0|acc   |0.5447|±  |0.0173|
| - blimp_existential_there_object_raising_filtered                   |      1|none  |     0|acc   |0.4631|±  |0.0175|
| - blimp_existential_there_quantifiers_1_filtered                    |      1|none  |     0|acc   |0.3570|±  |0.0157|
| - blimp_existential_there_quantifiers_2_filtered                    |      1|none  |     0|acc   |0.1877|±  |0.0129|
| - blimp_existential_there_subject_raising_filtered                  |      1|none  |     0|acc   |0.4946|±  |0.0165|
| - blimp_expletive_it_object_raising_filtered                        |      1|none  |     0|acc   |0.4809|±  |0.0181|
| - blimp_inchoative_filtered                                         |      1|none  |     0|acc   |0.3848|±  |0.0166|
| - blimp_intransitive_filtered                                       |      1|none  |     0|acc   |0.4608|±  |0.0169|
| - blimp_irregular_past_participle_adjectives_filtered               |      1|none  |     0|acc   |0.5713|±  |0.0160|
| - blimp_irregular_past_participle_verbs_filtered                    |      1|none  |     0|acc   |0.6571|±  |0.0155|
| - blimp_irregular_plural_subject_verb_agreement_1_filtered          |      1|none  |     0|acc   |0.5410|±  |0.0176|
| - blimp_irregular_plural_subject_verb_agreement_2_filtered          |      1|none  |     0|acc   |0.5605|±  |0.0166|
| - blimp_left_branch_island_echo_question_filtered                   |      1|none  |     0|acc   |0.3432|±  |0.0154|
| - blimp_left_branch_island_simple_question_filtered                 |      1|none  |     0|acc   |0.2808|±  |0.0146|
