|                                Tasks                                |Version|Filter|n-shot|Metric|Value |   |Stderr|
|---------------------------------------------------------------------|-------|------|-----:|------|-----:|---|-----:|
|blimp_supplement                                                     |N/A    |none  |     0|acc   |0.5723|±  |0.0068|
| - blimp_supplement_hypernym                                         |      1|none  |     0|acc   |0.5451|±  |0.0172|
| - blimp_supplement_qa_congruence_easy                               |      1|none  |     0|acc   |0.6250|±  |0.0610|
| - blimp_supplement_qa_congruence_tricky                             |      1|none  |     0|acc   |0.5576|±  |0.0388|
| - blimp_supplement_subject_aux_inversion                            |      1|none  |     0|acc   |0.6018|±  |0.0079|
| - blimp_supplement_turn_taking                                      |      1|none  |     0|acc   |0.5321|±  |0.0299|
|blimp_filtered                                                       |N/A    |none  |     0|acc   |0.5033|±  |0.0018|
| - blimp_adjunct_island_filtered                                     |      1|none  |     0|acc   |0.5894|±  |0.0162|
| - blimp_anaphor_gender_agreement_filtered                           |      1|none  |     0|acc   |0.5953|±  |0.0158|
| - blimp_anaphor_number_agreement_filtered                           |      1|none  |     0|acc   |0.6069|±  |0.0160|
| - blimp_animate_subject_passive_filtered                            |      1|none  |     0|acc   |0.5397|±  |0.0167|
| - blimp_animate_subject_trans_filtered                              |      1|none  |     0|acc   |0.4377|±  |0.0163|
| - blimp_causative_filtered                                          |      1|none  |     0|acc   |0.5611|±  |0.0174|
| - blimp_complex_NP_island_filtered                                  |      1|none  |     0|acc   |0.4232|±  |0.0170|
| - blimp_coordinate_structure_constraint_complex_left_branch_filtered|      1|none  |     0|acc   |0.1733|±  |0.0126|
| - blimp_coordinate_structure_constraint_object_extraction_filtered  |      1|none  |     0|acc   |0.4963|±  |0.0162|
| - blimp_determiner_noun_agreement_1_filtered                        |      1|none  |     0|acc   |0.5404|±  |0.0164|
| - blimp_determiner_noun_agreement_2_filtered                        |      1|none  |     0|acc   |0.5489|±  |0.0163|
| - blimp_determiner_noun_agreement_irregular_1_filtered              |      1|none  |     0|acc   |0.5022|±  |0.0192|
| - blimp_determiner_noun_agreement_irregular_2_filtered              |      1|none  |     0|acc   |0.4695|±  |0.0174|
| - blimp_determiner_noun_agreement_with_adj_2_filtered               |      1|none  |     0|acc   |0.4910|±  |0.0163|
| - blimp_determiner_noun_agreement_with_adj_irregular_1_filtered     |      1|none  |     0|acc   |0.4944|±  |0.0187|
| - blimp_determiner_noun_agreement_with_adj_irregular_2_filtered     |      1|none  |     0|acc   |0.5952|±  |0.0169|
| - blimp_determiner_noun_agreement_with_adjective_1_filtered         |      1|none  |     0|acc   |0.5113|±  |0.0164|
| - blimp_distractor_agreement_relational_noun_filtered               |      1|none  |     0|acc   |0.3579|±  |0.0171|
| - blimp_distractor_agreement_relative_clause_filtered               |      1|none  |     0|acc   |0.4041|±  |0.0166|
| - blimp_drop_argument_filtered                                      |      1|none  |     0|acc   |0.4750|±  |0.0165|
| - blimp_ellipsis_n_bar_1_filtered                                   |      1|none  |     0|acc   |0.5362|±  |0.0176|
| - blimp_ellipsis_n_bar_2_filtered                                   |      1|none  |     0|acc   |0.5109|±  |0.0174|
| - blimp_existential_there_object_raising_filtered                   |      1|none  |     0|acc   |0.4914|±  |0.0176|
| - blimp_existential_there_quantifiers_1_filtered                    |      1|none  |     0|acc   |0.3548|±  |0.0157|
| - blimp_existential_there_quantifiers_2_filtered                    |      1|none  |     0|acc   |0.1701|±  |0.0125|
| - blimp_existential_there_subject_raising_filtered                  |      1|none  |     0|acc   |0.4708|±  |0.0164|
| - blimp_expletive_it_object_raising_filtered                        |      1|none  |     0|acc   |0.4901|±  |0.0182|
| - blimp_inchoative_filtered                                         |      1|none  |     0|acc   |0.4620|±  |0.0171|
