|                                Tasks                                |Version|Filter|n-shot|Metric|Value |   |Stderr|
|---------------------------------------------------------------------|-------|------|-----:|------|-----:|---|-----:|
|blimp_supplement                                                     |N/A    |none  |     0|acc   |0.4675|±  |0.0069|
| - blimp_supplement_hypernym                                         |      1|none  |     0|acc   |0.4964|±  |0.0172|
| - blimp_supplement_qa_congruence_easy                               |      1|none  |     0|acc   |0.3906|±  |0.0615|
| - blimp_supplement_qa_congruence_tricky                             |      1|none  |     0|acc   |0.3636|±  |0.0376|
| - blimp_supplement_subject_aux_inversion                            |      1|none  |     0|acc   |0.5689|±  |0.0080|
| - blimp_supplement_turn_taking                                      |      1|none  |     0|acc   |0.5179|±  |0.0299|
|blimp_filtered                                                       |N/A    |none  |     0|acc   |0.5101|±  |0.0020|
| - blimp_adjunct_island_filtered                                     |      1|none  |     0|acc   |0.6983|±  |0.0151|
| - blimp_anaphor_gender_agreement_filtered                           |      1|none  |     0|acc   |0.6509|±  |0.0153|
| - blimp_anaphor_number_agreement_filtered                           |      1|none  |     0|acc   |0.6380|±  |0.0158|
| - blimp_animate_subject_passive_filtered                            |      1|none  |     0|acc   |0.6034|±  |0.0164|
| - blimp_animate_subject_trans_filtered                              |      1|none  |     0|acc   |0.6306|±  |0.0159|
| - blimp_causative_filtered                                          |      1|none  |     0|acc   |0.4780|±  |0.0175|
| - blimp_complex_NP_island_filtered                                  |      1|none  |     0|acc   |0.6123|±  |0.0168|
| - blimp_coordinate_structure_constraint_complex_left_branch_filtered|      1|none  |     0|acc   |0.6932|±  |0.0153|
| - blimp_coordinate_structure_constraint_object_extraction_filtered  |      1|none  |     0|acc   |0.2908|±  |0.0147|
| - blimp_determiner_noun_agreement_1_filtered                        |      1|none  |     0|acc   |0.5737|±  |0.0162|
| - blimp_determiner_noun_agreement_2_filtered                        |      1|none  |     0|acc   |0.5113|±  |0.0164|
| - blimp_determiner_noun_agreement_irregular_1_filtered              |      1|none  |     0|acc   |0.5551|±  |0.0191|
| - blimp_determiner_noun_agreement_irregular_2_filtered              |      1|none  |     0|acc   |0.4476|±  |0.0174|
| - blimp_determiner_noun_agreement_with_adj_2_filtered               |      1|none  |     0|acc   |0.5175|±  |0.0163|
| - blimp_determiner_noun_agreement_with_adj_irregular_1_filtered     |      1|none  |     0|acc   |0.5766|±  |0.0185|
| - blimp_determiner_noun_agreement_with_adj_irregular_2_filtered     |      1|none  |     0|acc   |0.4726|±  |0.0172|
| - blimp_determiner_noun_agreement_with_adjective_1_filtered         |      1|none  |     0|acc   |0.5048|±  |0.0164|
| - blimp_distractor_agreement_relational_noun_filtered               |      1|none  |     0|acc   |0.5241|±  |0.0178|
| - blimp_distractor_agreement_relative_clause_filtered               |      1|none  |     0|acc   |0.5052|±  |0.0170|
| - blimp_drop_argument_filtered                                      |      1|none  |     0|acc   |0.7120|±  |0.0149|
| - blimp_ellipsis_n_bar_1_filtered                                   |      1|none  |     0|acc   |0.6160|±  |0.0172|
| - blimp_ellipsis_n_bar_2_filtered                                   |      1|none  |     0|acc   |0.3019|±  |0.0160|
| - blimp_existential_there_object_raising_filtered                   |      1|none  |     0|acc   |0.6564|±  |0.0167|
| - blimp_existential_there_quantifiers_1_filtered                    |      1|none  |     0|acc   |0.3226|±  |0.0153|
| - blimp_existential_there_quantifiers_2_filtered                    |      1|none  |     0|acc   |0.3447|±  |0.0158|
| - blimp_existential_there_subject_raising_filtered                  |      1|none  |     0|acc   |0.6883|±  |0.0152|
| - blimp_expletive_it_object_raising_filtered                        |      1|none  |     0|acc   |0.6061|±  |0.0177|
| - blimp_inchoative_filtered                                         |      1|none  |     0|acc   |0.4316|±  |0.0169|
| - blimp_intransitive_filtered                                       |      1|none  |     0|acc   |0.5887|±  |0.0167|
| - blimp_irregular_past_participle_adjectives_filtered               |      1|none  |     0|acc   |0.6389|±  |0.0155|
| - blimp_irregular_past_participle_verbs_filtered                    |      1|none  |     0|acc   |0.3737|±  |0.0158|
| - blimp_irregular_plural_subject_verb_agreement_1_filtered          |      1|none  |     0|acc   |0.5224|±  |0.0176|
| - blimp_irregular_plural_subject_verb_agreement_2_filtered          |      1|none  |     0|acc   |0.4888|±  |0.0167|
| - blimp_left_branch_island_echo_question_filtered                   |      1|none  |     0|acc   |0.5766|±  |0.0161|
| - blimp_left_branch_island_simple_question_filtered                 |      1|none  |     0|acc   |0.5289|±  |0.0162|
| - blimp_matrix_question_npi_licensor_present_filtered               |      1|none  |     0|acc   |0.2487|±  |0.0142|
| - blimp_npi_present_1_filtered                                      |      1|none  |     0|acc   |0.5061|±  |0.0166|
| - blimp_npi_present_2_filtered                                      |      1|none  |     0|acc   |0.4759|±  |0.0165|
| - blimp_only_npi_licensor_present_filtered                          |      1|none  |     0|acc   |0.9331|±  |0.0084|
| - blimp_only_npi_scope_filtered                                     |      1|none  |     0|acc   |0.4875|±  |0.0173|
| - blimp_passive_1_filtered                                          |      1|none  |     0|acc   |0.5774|±  |0.0171|
| - blimp_passive_2_filtered                                          |      1|none  |     0|acc   |0.5548|±  |0.0165|
| - blimp_principle_A_c_command_filtered                              |      1|none  |     0|acc   |0.4683|±  |0.0162|
| - blimp_principle_A_case_1_filtered                                 |      1|none  |     0|acc   |0.7664|±  |0.0140|
| - blimp_principle_A_case_2_filtered                                 |      1|none  |     0|acc   |0.4634|±  |0.0165|
| - blimp_principle_A_domain_1_filtered                               |      1|none  |     0|acc   |0.2473|±  |0.0143|
