|                                Tasks                                |Version|Filter|n-shot|Metric|Value |   |Stderr|
|---------------------------------------------------------------------|-------|------|-----:|------|-----:|---|-----:|
|blimp_supplement                                                     |N/A    |none  |     0|acc   |0.4295|±  |0.0069|
| - blimp_supplement_hypernym                                         |      1|none  |     0|acc   |0.4917|±  |0.0172|
| - blimp_supplement_qa_congruence_easy                               |      1|none  |     0|acc   |0.3594|±  |0.0605|
| - blimp_supplement_qa_congruence_tricky                             |      1|none  |     0|acc   |0.4000|±  |0.0383|
| - blimp_supplement_subject_aux_inversion                            |      1|none  |     0|acc   |0.4999|±  |0.0080|
| - blimp_supplement_turn_taking                                      |      1|none  |     0|acc   |0.3964|±  |0.0293|
|blimp_filtered                                                       |N/A    |none  |     0|acc   |0.4967|±  |0.0019|
| - blimp_adjunct_island_filtered                                     |      1|none  |     0|acc   |0.5873|±  |0.0162|
| - blimp_anaphor_gender_agreement_filtered                           |      1|none  |     0|acc   |0.4202|±  |0.0158|
| - blimp_anaphor_number_agreement_filtered                           |      1|none  |     0|acc   |0.5854|±  |0.0162|
| - blimp_animate_subject_passive_filtered                            |      1|none  |     0|acc   |0.5877|±  |0.0165|
| - blimp_animate_subject_trans_filtered                              |      1|none  |     0|acc   |0.5276|±  |0.0164|
| - blimp_causative_filtered                                          |      1|none  |     0|acc   |0.5244|±  |0.0175|
| - blimp_complex_NP_island_filtered                                  |      1|none  |     0|acc   |0.5768|±  |0.0170|
| - blimp_coordinate_structure_constraint_complex_left_branch_filtered|      1|none  |     0|acc   |0.7748|±  |0.0139|
| - blimp_coordinate_structure_constraint_object_extraction_filtered  |      1|none  |     0|acc   |0.3035|±  |0.0149|
| - blimp_determiner_noun_agreement_1_filtered                        |      1|none  |     0|acc   |0.5350|±  |0.0164|
| - blimp_determiner_noun_agreement_2_filtered                        |      1|none  |     0|acc   |0.4995|±  |0.0164|
| - blimp_determiner_noun_agreement_irregular_1_filtered              |      1|none  |     0|acc   |0.4963|±  |0.0192|
| - blimp_determiner_noun_agreement_irregular_2_filtered              |      1|none  |     0|acc   |0.4159|±  |0.0172|
| - blimp_determiner_noun_agreement_with_adj_2_filtered               |      1|none  |     0|acc   |0.5197|±  |0.0163|
| - blimp_determiner_noun_agreement_with_adj_irregular_1_filtered     |      1|none  |     0|acc   |0.4680|±  |0.0186|
| - blimp_determiner_noun_agreement_with_adj_irregular_2_filtered     |      1|none  |     0|acc   |0.4155|±  |0.0170|
| - blimp_determiner_noun_agreement_with_adjective_1_filtered         |      1|none  |     0|acc   |0.5016|±  |0.0164|
| - blimp_distractor_agreement_relational_noun_filtered               |      1|none  |     0|acc   |0.5393|±  |0.0178|
| - blimp_distractor_agreement_relative_clause_filtered               |      1|none  |     0|acc   |0.5511|±  |0.0169|
| - blimp_drop_argument_filtered                                      |      1|none  |     0|acc   |0.7620|±  |0.0140|
| - blimp_ellipsis_n_bar_1_filtered                                   |      1|none  |     0|acc   |0.7818|±  |0.0146|
| - blimp_ellipsis_n_bar_2_filtered                                   |      1|none  |     0|acc   |0.3394|±  |0.0165|
| - blimp_existential_there_object_raising_filtered                   |      1|none  |     0|acc   |0.5887|±  |0.0173|
| - blimp_existential_there_quantifiers_1_filtered                    |      1|none  |     0|acc   |0.4763|±  |0.0164|
| - blimp_existential_there_quantifiers_2_filtered                    |      1|none  |     0|acc   |0.9001|±  |0.0099|
| - blimp_existential_there_subject_raising_filtered                  |      1|none  |     0|acc   |0.6775|±  |0.0154|
| - blimp_expletive_it_object_raising_filtered                        |      1|none  |     0|acc   |0.5889|±  |0.0179|
| - blimp_inchoative_filtered                                         |      1|none  |     0|acc   |0.4725|±  |0.0171|
| - blimp_intransitive_filtered                                       |      1|none  |     0|acc   |0.6094|±  |0.0166|
| - blimp_irregular_past_participle_adjectives_filtered               |      1|none  |     0|acc   |0.4974|±  |0.0161|
| - blimp_irregular_past_participle_verbs_filtered                    |      1|none  |     0|acc   |0.4830|±  |0.0163|
| - blimp_irregular_plural_subject_verb_agreement_1_filtered          |      1|none  |     0|acc   |0.5199|±  |0.0176|
| - blimp_irregular_plural_subject_verb_agreement_2_filtered          |      1|none  |     0|acc   |0.4574|±  |0.0167|
| - blimp_left_branch_island_echo_question_filtered                   |      1|none  |     0|acc   |0.4361|±  |0.0161|
| - blimp_left_branch_island_simple_question_filtered                 |      1|none  |     0|acc   |0.6288|±  |0.0157|
| - blimp_matrix_question_npi_licensor_present_filtered               |      1|none  |     0|acc   |0.4553|±  |0.0163|
| - blimp_npi_present_1_filtered                                      |      1|none  |     0|acc   |0.4532|±  |0.0165|
| - blimp_npi_present_2_filtered                                      |      1|none  |     0|acc   |0.5558|±  |0.0164|
| - blimp_only_npi_licensor_present_filtered                          |      1|none  |     0|acc   |0.7585|±  |0.0144|
| - blimp_only_npi_scope_filtered                                     |      1|none  |     0|acc   |0.3536|±  |0.0165|
| - blimp_passive_1_filtered                                          |      1|none  |     0|acc   |0.5750|±  |0.0171|
| - blimp_passive_2_filtered                                          |      1|none  |     0|acc   |0.5415|±  |0.0166|
| - blimp_principle_A_c_command_filtered                              |      1|none  |     0|acc   |0.4482|±  |0.0162|
| - blimp_principle_A_case_1_filtered                                 |      1|none  |     0|acc   |0.4627|±  |0.0165|
| - blimp_principle_A_case_2_filtered                                 |      1|none  |     0|acc   |0.3607|±  |0.0159|
| - blimp_principle_A_domain_1_filtered                               |      1|none  |     0|acc   |0.3479|±  |0.0158|
