|                                Tasks                                |Version|Filter|n-shot|Metric|Value |   |Stderr|
|---------------------------------------------------------------------|-------|------|-----:|------|-----:|---|-----:|
|blimp_supplement                                                     |N/A    |none  |     0|acc   |0.4599|±  |0.0066|
| - blimp_supplement_hypernym                                         |      1|none  |     0|acc   |0.4881|±  |0.0172|
| - blimp_supplement_qa_congruence_easy                               |      1|none  |     0|acc   |0.3438|±  |0.0598|
| - blimp_supplement_qa_congruence_tricky                             |      1|none  |     0|acc   |0.3818|±  |0.0379|
| - blimp_supplement_subject_aux_inversion                            |      1|none  |     0|acc   |0.6713|±  |0.0076|
| - blimp_supplement_turn_taking                                      |      1|none  |     0|acc   |0.4143|±  |0.0295|
|blimp_filtered                                                       |N/A    |none  |     0|acc   |0.4826|±  |0.0019|
| - blimp_adjunct_island_filtered                                     |      1|none  |     0|acc   |0.5571|±  |0.0163|
| - blimp_anaphor_gender_agreement_filtered                           |      1|none  |     0|acc   |0.7250|±  |0.0143|
| - blimp_anaphor_number_agreement_filtered                           |      1|none  |     0|acc   |0.4694|±  |0.0164|
| - blimp_animate_subject_passive_filtered                            |      1|none  |     0|acc   |0.6134|±  |0.0163|
| - blimp_animate_subject_trans_filtered                              |      1|none  |     0|acc   |0.6219|±  |0.0160|
| - blimp_causative_filtered                                          |      1|none  |     0|acc   |0.4572|±  |0.0174|
| - blimp_complex_NP_island_filtered                                  |      1|none  |     0|acc   |0.4917|±  |0.0172|
| - blimp_coordinate_structure_constraint_complex_left_branch_filtered|      1|none  |     0|acc   |0.6711|±  |0.0156|
| - blimp_coordinate_structure_constraint_object_extraction_filtered  |      1|none  |     0|acc   |0.5121|±  |0.0162|
| - blimp_determiner_noun_agreement_1_filtered                        |      1|none  |     0|acc   |0.5727|±  |0.0162|
| - blimp_determiner_noun_agreement_2_filtered                        |      1|none  |     0|acc   |0.5607|±  |0.0163|
| - blimp_determiner_noun_agreement_irregular_1_filtered              |      1|none  |     0|acc   |0.5330|±  |0.0191|
| - blimp_determiner_noun_agreement_irregular_2_filtered              |      1|none  |     0|acc   |0.5927|±  |0.0172|
| - blimp_determiner_noun_agreement_with_adj_2_filtered               |      1|none  |     0|acc   |0.5207|±  |0.0163|
| - blimp_determiner_noun_agreement_with_adj_irregular_1_filtered     |      1|none  |     0|acc   |0.5348|±  |0.0186|
| - blimp_determiner_noun_agreement_with_adj_irregular_2_filtered     |      1|none  |     0|acc   |0.4405|±  |0.0171|
| - blimp_determiner_noun_agreement_with_adjective_1_filtered         |      1|none  |     0|acc   |0.5038|±  |0.0164|
| - blimp_distractor_agreement_relational_noun_filtered               |      1|none  |     0|acc   |0.4860|±  |0.0178|
| - blimp_distractor_agreement_relative_clause_filtered               |      1|none  |     0|acc   |0.4960|±  |0.0170|
| - blimp_drop_argument_filtered                                      |      1|none  |     0|acc   |0.7250|±  |0.0147|
