|                 Tasks                  |Version|Filter|n-shot|Metric|Value |   |Stderr|
|----------------------------------------|-------|------|-----:|------|-----:|---|-----:|
|ewok_filtered                           |N/A    |none  |     0|acc   |0.6459|±  |0.0050|
| - ewok_agent-properties_filtered       |      1|none  |     0|acc   |0.7493|±  |0.0092|
| - ewok_material-dynamics_filtered      |      1|none  |     0|acc   |0.8299|±  |0.0135|
| - ewok_material-properties_filtered    |      1|none  |     0|acc   |0.5294|±  |0.0384|
| - ewok_physical-dynamics_filtered      |      1|none  |     0|acc   |0.4417|±  |0.0455|
| - ewok_physical-interactions_filtered  |      1|none  |     0|acc   |0.6115|±  |0.0207|
| - ewok_physical-relations_filtered     |      1|none  |     0|acc   |0.8423|±  |0.0128|
| - ewok_quantitative-properties_filtered|      1|none  |     0|acc   |0.5764|±  |0.0279|
| - ewok_social-interactions_filtered    |      1|none  |     0|acc   |0.5680|±  |0.0289|
| - ewok_social-properties_filtered      |      1|none  |     0|acc   |0.5000|±  |0.0277|
| - ewok_social-relations_filtered       |      1|none  |     0|acc   |0.7771|±  |0.0106|
| - ewok_spatial-relations_filtered      |      1|none  |     0|acc   |0.6796|±  |0.0211|

|   Groups    |Version|Filter|n-shot|Metric|Value |   |Stderr|
|-------------|-------|------|-----:|------|-----:|---|-----:|
|ewok_filtered|N/A    |none  |     0|acc   |0.6459|±  | 0.005|
