|                                Tasks                                |Version|Filter|n-shot|Metric|Value |   |Stderr|
|---------------------------------------------------------------------|-------|------|-----:|------|-----:|---|-----:|
|blimp_supplement                                                     |N/A    |none  |     0|acc   |0.4606|±  |0.0067|
| - blimp_supplement_hypernym                                         |      1|none  |     0|acc   |0.5107|±  |0.0172|
| - blimp_supplement_qa_congruence_easy                               |      1|none  |     0|acc   |0.3438|±  |0.0598|
| - blimp_supplement_qa_congruence_tricky                             |      1|none  |     0|acc   |0.3879|±  |0.0380|
| - blimp_supplement_subject_aux_inversion                            |      1|none  |     0|acc   |0.6429|±  |0.0077|
| - blimp_supplement_turn_taking                                      |      1|none  |     0|acc   |0.4179|±  |0.0295|
|blimp_filtered                                                       |N/A    |none  |     0|acc   |0.4945|±  |0.0019|
| - blimp_adjunct_island_filtered                                     |      1|none  |     0|acc   |0.6121|±  |0.0160|
| - blimp_anaphor_gender_agreement_filtered                           |      1|none  |     0|acc   |0.4923|±  |0.0161|
| - blimp_anaphor_number_agreement_filtered                           |      1|none  |     0|acc   |0.5209|±  |0.0164|
| - blimp_animate_subject_passive_filtered                            |      1|none  |     0|acc   |0.5955|±  |0.0164|
| - blimp_animate_subject_trans_filtered                              |      1|none  |     0|acc   |0.6457|±  |0.0158|
| - blimp_causative_filtered                                          |      1|none  |     0|acc   |0.4853|±  |0.0175|
| - blimp_complex_NP_island_filtered                                  |      1|none  |     0|acc   |0.4456|±  |0.0171|
| - blimp_coordinate_structure_constraint_complex_left_branch_filtered|      1|none  |     0|acc   |0.7506|±  |0.0144|
| - blimp_coordinate_structure_constraint_object_extraction_filtered  |      1|none  |     0|acc   |0.4120|±  |0.0160|
| - blimp_determiner_noun_agreement_1_filtered                        |      1|none  |     0|acc   |0.5490|±  |0.0163|
| - blimp_determiner_noun_agreement_2_filtered                        |      1|none  |     0|acc   |0.5027|±  |0.0164|
| - blimp_determiner_noun_agreement_irregular_1_filtered              |      1|none  |     0|acc   |0.5301|±  |0.0191|
| - blimp_determiner_noun_agreement_irregular_2_filtered              |      1|none  |     0|acc   |0.4500|±  |0.0174|
| - blimp_determiner_noun_agreement_with_adj_2_filtered               |      1|none  |     0|acc   |0.5335|±  |0.0163|
| - blimp_determiner_noun_agreement_with_adj_irregular_1_filtered     |      1|none  |     0|acc   |0.5306|±  |0.0186|
| - blimp_determiner_noun_agreement_with_adj_irregular_2_filtered     |      1|none  |     0|acc   |0.4345|±  |0.0171|
| - blimp_determiner_noun_agreement_with_adjective_1_filtered         |      1|none  |     0|acc   |0.4973|±  |0.0164|
| - blimp_distractor_agreement_relational_noun_filtered               |      1|none  |     0|acc   |0.5000|±  |0.0178|
| - blimp_distractor_agreement_relative_clause_filtered               |      1|none  |     0|acc   |0.4799|±  |0.0169|
| - blimp_drop_argument_filtered                                      |      1|none  |     0|acc   |0.7293|±  |0.0147|
| - blimp_ellipsis_n_bar_1_filtered                                   |      1|none  |     0|acc   |0.6234|±  |0.0171|
| - blimp_ellipsis_n_bar_2_filtered                                   |      1|none  |     0|acc   |0.2947|±  |0.0159|
| - blimp_existential_there_object_raising_filtered                   |      1|none  |     0|acc   |0.6084|±  |0.0171|
| - blimp_existential_there_quantifiers_1_filtered                    |      1|none  |     0|acc   |0.2667|±  |0.0145|
| - blimp_existential_there_quantifiers_2_filtered                    |      1|none  |     0|acc   |0.4874|±  |0.0166|
| - blimp_existential_there_subject_raising_filtered                  |      1|none  |     0|acc   |0.6656|±  |0.0155|
| - blimp_expletive_it_object_raising_filtered                        |      1|none  |     0|acc   |0.5968|±  |0.0178|
| - blimp_inchoative_filtered                                         |      1|none  |     0|acc   |0.4222|±  |0.0169|
| - blimp_intransitive_filtered                                       |      1|none  |     0|acc   |0.5645|±  |0.0168|
| - blimp_irregular_past_participle_adjectives_filtered               |      1|none  |     0|acc   |0.4631|±  |0.0161|
| - blimp_irregular_past_participle_verbs_filtered                    |      1|none  |     0|acc   |0.5191|±  |0.0163|
| - blimp_irregular_plural_subject_verb_agreement_1_filtered          |      1|none  |     0|acc   |0.5174|±  |0.0176|
| - blimp_irregular_plural_subject_verb_agreement_2_filtered          |      1|none  |     0|acc   |0.5370|±  |0.0167|
| - blimp_left_branch_island_echo_question_filtered                   |      1|none  |     0|acc   |0.6927|±  |0.0150|
| - blimp_left_branch_island_simple_question_filtered                 |      1|none  |     0|acc   |0.7077|±  |0.0148|
| - blimp_matrix_question_npi_licensor_present_filtered               |      1|none  |     0|acc   |0.2379|±  |0.0140|
| - blimp_npi_present_1_filtered                                      |      1|none  |     0|acc   |0.1650|±  |0.0123|
| - blimp_npi_present_2_filtered                                      |      1|none  |     0|acc   |0.1969|±  |0.0132|
| - blimp_only_npi_licensor_present_filtered                          |      1|none  |     0|acc   |0.8050|±  |0.0133|
| - blimp_only_npi_scope_filtered                                     |      1|none  |     0|acc   |0.2366|±  |0.0147|
| - blimp_passive_1_filtered                                          |      1|none  |     0|acc   |0.5905|±  |0.0170|
| - blimp_passive_2_filtered                                          |      1|none  |     0|acc   |0.5703|±  |0.0165|
| - blimp_principle_A_c_command_filtered                              |      1|none  |     0|acc   |0.5433|±  |0.0162|
| - blimp_principle_A_case_1_filtered                                 |      1|none  |     0|acc   |0.9770|±  |0.0050|
| - blimp_principle_A_case_2_filtered                                 |      1|none  |     0|acc   |0.3934|±  |0.0162|
| - blimp_principle_A_domain_1_filtered                               |      1|none  |     0|acc   |0.3228|±  |0.0155|
| - blimp_principle_A_domain_2_filtered                               |      1|none  |     0|acc   |0.5333|±  |0.0165|
| - blimp_principle_A_domain_3_filtered                               |      1|none  |     0|acc   |0.5271|±  |0.0163|
| - blimp_principle_A_reconstruction_filtered                         |      1|none  |     0|acc   |0.5791|±  |0.0159|
| - blimp_regular_plural_subject_verb_agreement_1_filtered            |      1|none  |     0|acc   |0.5236|±  |0.0168|
| - blimp_regular_plural_subject_verb_agreement_2_filtered            |      1|none  |     0|acc   |0.4349|±  |0.0161|
| - blimp_sentential_negation_npi_licensor_present_filtered           |      1|none  |     0|acc   |0.3319|±  |0.0155|
| - blimp_sentential_negation_npi_scope_filtered                      |      1|none  |     0|acc   |0.3261|±  |0.0159|
| - blimp_sentential_subject_island_filtered                          |      1|none  |     0|acc   |0.4620|±  |0.0161|
| - blimp_superlative_quantifiers_1_filtered                          |      1|none  |     0|acc   |0.7845|±  |0.0131|
| - blimp_superlative_quantifiers_2_filtered                          |      1|none  |     0|acc   |0.0507|±  |0.0070|
| - blimp_tough_vs_raising_1_filtered                                 |      1|none  |     0|acc   |0.3481|±  |0.0155|
| - blimp_tough_vs_raising_2_filtered                                 |      1|none  |     0|acc   |0.7043|±  |0.0151|
| - blimp_transitive_filtered                                         |      1|none  |     0|acc   |0.5461|±  |0.0169|
| - blimp_wh_island_filtered                                          |      1|none  |     0|acc   |0.3594|±  |0.0155|
| - blimp_wh_questions_object_gap_filtered                            |      1|none  |     0|acc   |0.4622|±  |0.0170|
| - blimp_wh_questions_subject_gap_filtered                           |      1|none  |     0|acc   |0.1615|±  |0.0123|
| - blimp_wh_questions_subject_gap_long_distance_filtered             |      1|none  |     0|acc   |0.2240|±  |0.0143|
| - blimp_wh_vs_that_no_gap_filtered                                  |      1|none  |     0|acc   |0.6167|±  |0.0166|
| - blimp_wh_vs_that_no_gap_long_distance_filtered                    |      1|none  |     0|acc   |0.5520|±  |0.0168|
| - blimp_wh_vs_that_with_gap_filtered                                |      1|none  |     0|acc   |0.4494|±  |0.0164|
| - blimp_wh_vs_that_with_gap_long_distance_filtered                  |      1|none  |     0|acc   |0.4538|±  |0.0165|

|     Groups     |Version|Filter|n-shot|Metric|Value |   |Stderr|
|----------------|-------|------|-----:|------|-----:|---|-----:|
|blimp_supplement|N/A    |none  |     0|acc   |0.4606|±  |0.0067|
|blimp_filtered  |N/A    |none  |     0|acc   |0.4945|±  |0.0019|
