|                                Tasks                                |Version|Filter|n-shot|Metric|Value |   |Stderr|
|---------------------------------------------------------------------|-------|------|-----:|------|-----:|---|-----:|
|blimp_supplement                                                     |N/A    |none  |     0|acc   |0.5208|±  |0.0069|
| - blimp_supplement_hypernym                                         |      1|none  |     0|acc   |0.5119|±  |0.0172|
| - blimp_supplement_qa_congruence_easy                               |      1|none  |     0|acc   |0.5312|±  |0.0629|
| - blimp_supplement_qa_congruence_tricky                             |      1|none  |     0|acc   |0.5152|±  |0.0390|
| - blimp_supplement_subject_aux_inversion                            |      1|none  |     0|acc   |0.5100|±  |0.0080|
| - blimp_supplement_turn_taking                                      |      1|none  |     0|acc   |0.5357|±  |0.0299|
|blimp_filtered                                                       |N/A    |none  |     0|acc   |0.5301|±  |0.0018|
| - blimp_adjunct_island_filtered                                     |      1|none  |     0|acc   |0.5754|±  |0.0162|
| - blimp_anaphor_gender_agreement_filtered                           |      1|none  |     0|acc   |0.6478|±  |0.0153|
| - blimp_anaphor_number_agreement_filtered                           |      1|none  |     0|acc   |0.6026|±  |0.0160|
| - blimp_animate_subject_passive_filtered                            |      1|none  |     0|acc   |0.4872|±  |0.0167|
| - blimp_animate_subject_trans_filtered                              |      1|none  |     0|acc   |0.3911|±  |0.0161|
| - blimp_causative_filtered                                          |      1|none  |     0|acc   |0.5941|±  |0.0172|
| - blimp_complex_NP_island_filtered                                  |      1|none  |     0|acc   |0.5520|±  |0.0171|
| - blimp_coordinate_structure_constraint_complex_left_branch_filtered|      1|none  |     0|acc   |0.4525|±  |0.0165|
| - blimp_coordinate_structure_constraint_object_extraction_filtered  |      1|none  |     0|acc   |0.4531|±  |0.0162|
| - blimp_determiner_noun_agreement_1_filtered                        |      1|none  |     0|acc   |0.5070|±  |0.0164|
| - blimp_determiner_noun_agreement_2_filtered                        |      1|none  |     0|acc   |0.5070|±  |0.0164|
| - blimp_determiner_noun_agreement_irregular_1_filtered              |      1|none  |     0|acc   |0.4890|±  |0.0192|
| - blimp_determiner_noun_agreement_irregular_2_filtered              |      1|none  |     0|acc   |0.4866|±  |0.0175|
| - blimp_determiner_noun_agreement_with_adj_2_filtered               |      1|none  |     0|acc   |0.4931|±  |0.0163|
| - blimp_determiner_noun_agreement_with_adj_irregular_1_filtered     |      1|none  |     0|acc   |0.4582|±  |0.0186|
| - blimp_determiner_noun_agreement_with_adj_irregular_2_filtered     |      1|none  |     0|acc   |0.5726|±  |0.0171|
| - blimp_determiner_noun_agreement_with_adjective_1_filtered         |      1|none  |     0|acc   |0.5155|±  |0.0164|
| - blimp_distractor_agreement_relational_noun_filtered               |      1|none  |     0|acc   |0.4416|±  |0.0177|
| - blimp_distractor_agreement_relative_clause_filtered               |      1|none  |     0|acc   |0.4592|±  |0.0169|
| - blimp_drop_argument_filtered                                      |      1|none  |     0|acc   |0.4630|±  |0.0164|
| - blimp_ellipsis_n_bar_1_filtered                                   |      1|none  |     0|acc   |0.5312|±  |0.0176|
| - blimp_ellipsis_n_bar_2_filtered                                   |      1|none  |     0|acc   |0.4928|±  |0.0174|
| - blimp_existential_there_object_raising_filtered                   |      1|none  |     0|acc   |0.5296|±  |0.0175|
| - blimp_existential_there_quantifiers_1_filtered                    |      1|none  |     0|acc   |0.3710|±  |0.0158|
| - blimp_existential_there_quantifiers_2_filtered                    |      1|none  |     0|acc   |0.1625|±  |0.0122|
| - blimp_existential_there_subject_raising_filtered                  |      1|none  |     0|acc   |0.4751|±  |0.0164|
| - blimp_expletive_it_object_raising_filtered                        |      1|none  |     0|acc   |0.5033|±  |0.0182|
| - blimp_inchoative_filtered                                         |      1|none  |     0|acc   |0.5380|±  |0.0171|
| - blimp_intransitive_filtered                                       |      1|none  |     0|acc   |0.4873|±  |0.0170|
