|                                Tasks                                |Version|Filter|n-shot|Metric|Value |   |Stderr|
|---------------------------------------------------------------------|-------|------|-----:|------|-----:|---|-----:|
|blimp_supplement                                                     |N/A    |none  |     0|acc   |0.5781|±  |0.0065|
| - blimp_supplement_hypernym                                         |      1|none  |     0|acc   |0.5226|±  |0.0172|
| - blimp_supplement_qa_congruence_easy                               |      1|none  |     0|acc   |0.5781|±  |0.0622|
| - blimp_supplement_qa_congruence_tricky                             |      1|none  |     0|acc   |0.5333|±  |0.0390|
| - blimp_supplement_subject_aux_inversion                            |      1|none  |     0|acc   |0.6884|±  |0.0074|
| - blimp_supplement_turn_taking                                      |      1|none  |     0|acc   |0.5679|±  |0.0297|
|blimp_filtered                                                       |N/A    |none  |     0|acc   |0.5043|±  |0.0019|
| - blimp_adjunct_island_filtered                                     |      1|none  |     0|acc   |0.4892|±  |0.0164|
| - blimp_anaphor_gender_agreement_filtered                           |      1|none  |     0|acc   |0.6365|±  |0.0154|
| - blimp_anaphor_number_agreement_filtered                           |      1|none  |     0|acc   |0.6230|±  |0.0159|
| - blimp_animate_subject_passive_filtered                            |      1|none  |     0|acc   |0.5061|±  |0.0167|
| - blimp_animate_subject_trans_filtered                              |      1|none  |     0|acc   |0.4139|±  |0.0162|
| - blimp_causative_filtered                                          |      1|none  |     0|acc   |0.4731|±  |0.0175|
| - blimp_complex_NP_island_filtered                                  |      1|none  |     0|acc   |0.4527|±  |0.0171|
| - blimp_coordinate_structure_constraint_complex_left_branch_filtered|      1|none  |     0|acc   |0.1258|±  |0.0110|
| - blimp_coordinate_structure_constraint_object_extraction_filtered  |      1|none  |     0|acc   |0.5195|±  |0.0162|
| - blimp_determiner_noun_agreement_1_filtered                        |      1|none  |     0|acc   |0.5576|±  |0.0163|
| - blimp_determiner_noun_agreement_2_filtered                        |      1|none  |     0|acc   |0.5456|±  |0.0163|
| - blimp_determiner_noun_agreement_irregular_1_filtered              |      1|none  |     0|acc   |0.5110|±  |0.0192|
| - blimp_determiner_noun_agreement_irregular_2_filtered              |      1|none  |     0|acc   |0.4439|±  |0.0174|
| - blimp_determiner_noun_agreement_with_adj_2_filtered               |      1|none  |     0|acc   |0.4888|±  |0.0163|
| - blimp_determiner_noun_agreement_with_adj_irregular_1_filtered     |      1|none  |     0|acc   |0.5348|±  |0.0186|
| - blimp_determiner_noun_agreement_with_adj_irregular_2_filtered     |      1|none  |     0|acc   |0.5988|±  |0.0169|
| - blimp_determiner_noun_agreement_with_adjective_1_filtered         |      1|none  |     0|acc   |0.4909|±  |0.0164|
| - blimp_distractor_agreement_relational_noun_filtered               |      1|none  |     0|acc   |0.5355|±  |0.0178|
| - blimp_distractor_agreement_relative_clause_filtered               |      1|none  |     0|acc   |0.4191|±  |0.0167|
