|                                Tasks                                |Version|Filter|n-shot|Metric|Value |   |Stderr|
|---------------------------------------------------------------------|-------|------|-----:|------|-----:|---|-----:|
|blimp_supplement                                                     |N/A    |none  |     0|acc   |0.4266|±  |0.0069|
| - blimp_supplement_hypernym                                         |      1|none  |     0|acc   |0.4929|±  |0.0172|
| - blimp_supplement_qa_congruence_easy                               |      1|none  |     0|acc   |0.3438|±  |0.0598|
| - blimp_supplement_qa_congruence_tricky                             |      1|none  |     0|acc   |0.3515|±  |0.0373|
| - blimp_supplement_subject_aux_inversion                            |      1|none  |     0|acc   |0.4626|±  |0.0080|
| - blimp_supplement_turn_taking                                      |      1|none  |     0|acc   |0.4821|±  |0.0299|
|blimp_filtered                                                       |N/A    |none  |     0|acc   |0.4962|±  |0.0019|
| - blimp_adjunct_island_filtered                                     |      1|none  |     0|acc   |0.5054|±  |0.0164|
| - blimp_anaphor_gender_agreement_filtered                           |      1|none  |     0|acc   |0.5860|±  |0.0158|
| - blimp_anaphor_number_agreement_filtered                           |      1|none  |     0|acc   |0.5639|±  |0.0163|
| - blimp_animate_subject_passive_filtered                            |      1|none  |     0|acc   |0.6223|±  |0.0162|
| - blimp_animate_subject_trans_filtered                              |      1|none  |     0|acc   |0.5666|±  |0.0163|
| - blimp_causative_filtered                                          |      1|none  |     0|acc   |0.5024|±  |0.0175|
| - blimp_complex_NP_island_filtered                                  |      1|none  |     0|acc   |0.6182|±  |0.0167|
| - blimp_coordinate_structure_constraint_complex_left_branch_filtered|      1|none  |     0|acc   |0.7506|±  |0.0144|
| - blimp_coordinate_structure_constraint_object_extraction_filtered  |      1|none  |     0|acc   |0.3857|±  |0.0158|
| - blimp_determiner_noun_agreement_1_filtered                        |      1|none  |     0|acc   |0.5285|±  |0.0164|
| - blimp_determiner_noun_agreement_2_filtered                        |      1|none  |     0|acc   |0.4866|±  |0.0164|
| - blimp_determiner_noun_agreement_irregular_1_filtered              |      1|none  |     0|acc   |0.4493|±  |0.0191|
| - blimp_determiner_noun_agreement_irregular_2_filtered              |      1|none  |     0|acc   |0.3890|±  |0.0170|
| - blimp_determiner_noun_agreement_with_adj_2_filtered               |      1|none  |     0|acc   |0.5367|±  |0.0163|
| - blimp_determiner_noun_agreement_with_adj_irregular_1_filtered     |      1|none  |     0|acc   |0.4568|±  |0.0186|
| - blimp_determiner_noun_agreement_with_adj_irregular_2_filtered     |      1|none  |     0|acc   |0.4167|±  |0.0170|
| - blimp_determiner_noun_agreement_with_adjective_1_filtered         |      1|none  |     0|acc   |0.5198|±  |0.0164|
| - blimp_distractor_agreement_relational_noun_filtered               |      1|none  |     0|acc   |0.5495|±  |0.0177|
| - blimp_distractor_agreement_relative_clause_filtered               |      1|none  |     0|acc   |0.5580|±  |0.0168|
| - blimp_drop_argument_filtered                                      |      1|none  |     0|acc   |0.7685|±  |0.0139|
| - blimp_ellipsis_n_bar_1_filtered                                   |      1|none  |     0|acc   |0.7581|±  |0.0151|
| - blimp_ellipsis_n_bar_2_filtered                                   |      1|none  |     0|acc   |0.3370|±  |0.0164|
| - blimp_existential_there_object_raising_filtered                   |      1|none  |     0|acc   |0.6404|±  |0.0169|
| - blimp_existential_there_quantifiers_1_filtered                    |      1|none  |     0|acc   |0.4290|±  |0.0162|
| - blimp_existential_there_quantifiers_2_filtered                    |      1|none  |     0|acc   |0.9232|±  |0.0088|
| - blimp_existential_there_subject_raising_filtered                  |      1|none  |     0|acc   |0.6948|±  |0.0152|
| - blimp_expletive_it_object_raising_filtered                        |      1|none  |     0|acc   |0.5903|±  |0.0179|
| - blimp_inchoative_filtered                                         |      1|none  |     0|acc   |0.5146|±  |0.0171|
| - blimp_intransitive_filtered                                       |      1|none  |     0|acc   |0.6141|±  |0.0165|
| - blimp_irregular_past_participle_adjectives_filtered               |      1|none  |     0|acc   |0.3319|±  |0.0152|
| - blimp_irregular_past_participle_verbs_filtered                    |      1|none  |     0|acc   |0.4830|±  |0.0163|
| - blimp_irregular_plural_subject_verb_agreement_1_filtered          |      1|none  |     0|acc   |0.4876|±  |0.0176|
| - blimp_irregular_plural_subject_verb_agreement_2_filtered          |      1|none  |     0|acc   |0.5101|±  |0.0167|
| - blimp_left_branch_island_echo_question_filtered                   |      1|none  |     0|acc   |0.5523|±  |0.0162|
| - blimp_left_branch_island_simple_question_filtered                 |      1|none  |     0|acc   |0.6425|±  |0.0155|
| - blimp_matrix_question_npi_licensor_present_filtered               |      1|none  |     0|acc   |0.4952|±  |0.0164|
| - blimp_npi_present_1_filtered                                      |      1|none  |     0|acc   |0.5061|±  |0.0166|
| - blimp_npi_present_2_filtered                                      |      1|none  |     0|acc   |0.5394|±  |0.0165|
| - blimp_only_npi_licensor_present_filtered                          |      1|none  |     0|acc   |0.0113|±  |0.0036|
| - blimp_only_npi_scope_filtered                                     |      1|none  |     0|acc   |0.2330|±  |0.0146|
| - blimp_passive_1_filtered                                          |      1|none  |     0|acc   |0.5881|±  |0.0170|
| - blimp_passive_2_filtered                                          |      1|none  |     0|acc   |0.5449|±  |0.0166|
| - blimp_principle_A_c_command_filtered                              |      1|none  |     0|acc   |0.5539|±  |0.0162|
| - blimp_principle_A_case_1_filtered                                 |      1|none  |     0|acc   |0.0822|±  |0.0091|
| - blimp_principle_A_case_2_filtered                                 |      1|none  |     0|acc   |0.3005|±  |0.0152|
| - blimp_principle_A_domain_1_filtered                               |      1|none  |     0|acc   |0.4125|±  |0.0163|
| - blimp_principle_A_domain_2_filtered                               |      1|none  |     0|acc   |0.4918|±  |0.0165|
| - blimp_principle_A_domain_3_filtered                               |      1|none  |     0|acc   |0.5430|±  |0.0162|
| - blimp_principle_A_reconstruction_filtered                         |      1|none  |     0|acc   |0.6081|±  |0.0157|
| - blimp_regular_plural_subject_verb_agreement_1_filtered            |      1|none  |     0|acc   |0.3966|±  |0.0164|
| - blimp_regular_plural_subject_verb_agreement_2_filtered            |      1|none  |     0|acc   |0.4180|±  |0.0161|
| - blimp_sentential_negation_npi_licensor_present_filtered           |      1|none  |     0|acc   |0.6039|±  |0.0161|
| - blimp_sentential_negation_npi_scope_filtered                      |      1|none  |     0|acc   |0.9024|±  |0.0101|
| - blimp_sentential_subject_island_filtered                          |      1|none  |     0|acc   |0.4568|±  |0.0161|
