|                                Tasks                                |Version|Filter|n-shot|Metric|Value |   |Stderr|
|---------------------------------------------------------------------|-------|------|-----:|------|-----:|---|-----:|
|blimp_supplement                                                     |N/A    |none  |     0|acc   |0.4478|±  |0.0069|
| - blimp_supplement_hypernym                                         |      1|none  |     0|acc   |0.4917|±  |0.0172|
| - blimp_supplement_qa_congruence_easy                               |      1|none  |     0|acc   |0.3750|±  |0.0610|
| - blimp_supplement_qa_congruence_tricky                             |      1|none  |     0|acc   |0.4182|±  |0.0385|
| - blimp_supplement_subject_aux_inversion                            |      1|none  |     0|acc   |0.5720|±  |0.0080|
| - blimp_supplement_turn_taking                                      |      1|none  |     0|acc   |0.3821|±  |0.0291|
|blimp_filtered                                                       |N/A    |none  |     0|acc   |0.5184|±  |0.0020|
| - blimp_adjunct_island_filtered                                     |      1|none  |     0|acc   |0.6401|±  |0.0158|
| - blimp_anaphor_gender_agreement_filtered                           |      1|none  |     0|acc   |0.4109|±  |0.0158|
| - blimp_anaphor_number_agreement_filtered                           |      1|none  |     0|acc   |0.5661|±  |0.0163|
| - blimp_animate_subject_passive_filtered                            |      1|none  |     0|acc   |0.5765|±  |0.0165|
| - blimp_animate_subject_trans_filtered                              |      1|none  |     0|acc   |0.5504|±  |0.0164|
| - blimp_causative_filtered                                          |      1|none  |     0|acc   |0.5000|±  |0.0175|
| - blimp_complex_NP_island_filtered                                  |      1|none  |     0|acc   |0.5331|±  |0.0172|
| - blimp_coordinate_structure_constraint_complex_left_branch_filtered|      1|none  |     0|acc   |0.7792|±  |0.0138|
| - blimp_coordinate_structure_constraint_object_extraction_filtered  |      1|none  |     0|acc   |0.3119|±  |0.0150|
| - blimp_determiner_noun_agreement_1_filtered                        |      1|none  |     0|acc   |0.5823|±  |0.0162|
| - blimp_determiner_noun_agreement_2_filtered                        |      1|none  |     0|acc   |0.5252|±  |0.0164|
| - blimp_determiner_noun_agreement_irregular_1_filtered              |      1|none  |     0|acc   |0.5448|±  |0.0191|
| - blimp_determiner_noun_agreement_irregular_2_filtered              |      1|none  |     0|acc   |0.5110|±  |0.0175|
| - blimp_determiner_noun_agreement_with_adj_2_filtered               |      1|none  |     0|acc   |0.5250|±  |0.0163|
| - blimp_determiner_noun_agreement_with_adj_irregular_1_filtered     |      1|none  |     0|acc   |0.4833|±  |0.0187|
| - blimp_determiner_noun_agreement_with_adj_irregular_2_filtered     |      1|none  |     0|acc   |0.4262|±  |0.0171|
| - blimp_determiner_noun_agreement_with_adjective_1_filtered         |      1|none  |     0|acc   |0.5070|±  |0.0164|
| - blimp_distractor_agreement_relational_noun_filtered               |      1|none  |     0|acc   |0.4949|±  |0.0178|
| - blimp_distractor_agreement_relative_clause_filtered               |      1|none  |     0|acc   |0.5132|±  |0.0169|
| - blimp_drop_argument_filtered                                      |      1|none  |     0|acc   |0.7609|±  |0.0141|
| - blimp_ellipsis_n_bar_1_filtered                                   |      1|none  |     0|acc   |0.6696|±  |0.0166|
| - blimp_ellipsis_n_bar_2_filtered                                   |      1|none  |     0|acc   |0.3394|±  |0.0165|
| - blimp_existential_there_object_raising_filtered                   |      1|none  |     0|acc   |0.6268|±  |0.0170|
| - blimp_existential_there_quantifiers_1_filtered                    |      1|none  |     0|acc   |0.5032|±  |0.0164|
| - blimp_existential_there_quantifiers_2_filtered                    |      1|none  |     0|acc   |0.8727|±  |0.0111|
| - blimp_existential_there_subject_raising_filtered                  |      1|none  |     0|acc   |0.6418|±  |0.0158|
| - blimp_expletive_it_object_raising_filtered                        |      1|none  |     0|acc   |0.6034|±  |0.0178|
| - blimp_inchoative_filtered                                         |      1|none  |     0|acc   |0.4444|±  |0.0170|
| - blimp_intransitive_filtered                                       |      1|none  |     0|acc   |0.6141|±  |0.0165|
| - blimp_irregular_past_participle_adjectives_filtered               |      1|none  |     0|acc   |0.5692|±  |0.0160|
| - blimp_irregular_past_participle_verbs_filtered                    |      1|none  |     0|acc   |0.4108|±  |0.0160|
| - blimp_irregular_plural_subject_verb_agreement_1_filtered          |      1|none  |     0|acc   |0.5124|±  |0.0176|
| - blimp_irregular_plural_subject_verb_agreement_2_filtered          |      1|none  |     0|acc   |0.5191|±  |0.0167|
| - blimp_left_branch_island_echo_question_filtered                   |      1|none  |     0|acc   |0.4805|±  |0.0162|
| - blimp_left_branch_island_simple_question_filtered                 |      1|none  |     0|acc   |0.6866|±  |0.0150|
| - blimp_matrix_question_npi_licensor_present_filtered               |      1|none  |     0|acc   |0.4435|±  |0.0163|
| - blimp_npi_present_1_filtered                                      |      1|none  |     0|acc   |0.4136|±  |0.0163|
| - blimp_npi_present_2_filtered                                      |      1|none  |     0|acc   |0.5438|±  |0.0165|
| - blimp_only_npi_licensor_present_filtered                          |      1|none  |     0|acc   |0.5442|±  |0.0168|
| - blimp_only_npi_scope_filtered                                     |      1|none  |     0|acc   |0.6249|±  |0.0167|
| - blimp_passive_1_filtered                                          |      1|none  |     0|acc   |0.6060|±  |0.0169|
| - blimp_passive_2_filtered                                          |      1|none  |     0|acc   |0.5703|±  |0.0165|
| - blimp_principle_A_c_command_filtered                              |      1|none  |     0|acc   |0.5571|±  |0.0162|
| - blimp_principle_A_case_1_filtered                                 |      1|none  |     0|acc   |0.7390|±  |0.0146|
| - blimp_principle_A_case_2_filtered                                 |      1|none  |     0|acc   |0.4066|±  |0.0162|
| - blimp_principle_A_domain_1_filtered                               |      1|none  |     0|acc   |0.4661|±  |0.0165|
| - blimp_principle_A_domain_2_filtered                               |      1|none  |     0|acc   |0.5399|±  |0.0165|
| - blimp_principle_A_domain_3_filtered                               |      1|none  |     0|acc   |0.5356|±  |0.0163|
| - blimp_principle_A_reconstruction_filtered                         |      1|none  |     0|acc   |0.5750|±  |0.0159|
| - blimp_regular_plural_subject_verb_agreement_1_filtered            |      1|none  |     0|acc   |0.4663|±  |0.0167|
| - blimp_regular_plural_subject_verb_agreement_2_filtered            |      1|none  |     0|acc   |0.4540|±  |0.0162|
| - blimp_sentential_negation_npi_licensor_present_filtered           |      1|none  |     0|acc   |0.3993|±  |0.0162|
| - blimp_sentential_negation_npi_scope_filtered                      |      1|none  |     0|acc   |0.6912|±  |0.0157|
| - blimp_sentential_subject_island_filtered                          |      1|none  |     0|acc   |0.4443|±  |0.0160|
| - blimp_superlative_quantifiers_1_filtered                          |      1|none  |     0|acc   |0.5485|±  |0.0159|
| - blimp_superlative_quantifiers_2_filtered                          |      1|none  |     0|acc   |0.3641|±  |0.0153|
| - blimp_tough_vs_raising_1_filtered                                 |      1|none  |     0|acc   |0.3449|±  |0.0154|
| - blimp_tough_vs_raising_2_filtered                                 |      1|none  |     0|acc   |0.6924|±  |0.0152|
| - blimp_transitive_filtered                                         |      1|none  |     0|acc   |0.5737|±  |0.0168|
| - blimp_wh_island_filtered                                          |      1|none  |     0|acc   |0.2458|±  |0.0139|
| - blimp_wh_questions_object_gap_filtered                            |      1|none  |     0|acc   |0.4203|±  |0.0169|
| - blimp_wh_questions_subject_gap_filtered                           |      1|none  |     0|acc   |0.1782|±  |0.0128|
| - blimp_wh_questions_subject_gap_long_distance_filtered             |      1|none  |     0|acc   |0.1097|±  |0.0107|
| - blimp_wh_vs_that_no_gap_filtered                                  |      1|none  |     0|acc   |0.2683|±  |0.0151|
| - blimp_wh_vs_that_no_gap_long_distance_filtered                    |      1|none  |     0|acc   |0.2423|±  |0.0145|
| - blimp_wh_vs_that_with_gap_filtered                                |      1|none  |     0|acc   |0.7530|±  |0.0142|
| - blimp_wh_vs_that_with_gap_long_distance_filtered                  |      1|none  |     0|acc   |0.7363|±  |0.0146|

|     Groups     |Version|Filter|n-shot|Metric|Value |   |Stderr|
|----------------|-------|------|-----:|------|-----:|---|-----:|
|blimp_supplement|N/A    |none  |     0|acc   |0.4478|±  |0.0069|
|blimp_filtered  |N/A    |none  |     0|acc   |0.5184|±  |0.0020|
