|                                Tasks                                |Version|Filter|n-shot|Metric|Value |   |Stderr|
|---------------------------------------------------------------------|-------|------|-----:|------|-----:|---|-----:|
|blimp_supplement                                                     |N/A    |none  |     0|acc   |0.4401|±  |0.0068|
| - blimp_supplement_hypernym                                         |      1|none  |     0|acc   |0.4941|±  |0.0172|
| - blimp_supplement_qa_congruence_easy                               |      1|none  |     0|acc   |0.3125|±  |0.0584|
| - blimp_supplement_qa_congruence_tricky                             |      1|none  |     0|acc   |0.3333|±  |0.0368|
| - blimp_supplement_subject_aux_inversion                            |      1|none  |     0|acc   |0.5782|±  |0.0079|
| - blimp_supplement_turn_taking                                      |      1|none  |     0|acc   |0.4821|±  |0.0299|
|blimp_filtered                                                       |N/A    |none  |     0|acc   |0.5034|±  |0.0019|
| - blimp_adjunct_island_filtered                                     |      1|none  |     0|acc   |0.5226|±  |0.0164|
| - blimp_anaphor_gender_agreement_filtered                           |      1|none  |     0|acc   |0.7631|±  |0.0137|
| - blimp_anaphor_number_agreement_filtered                           |      1|none  |     0|acc   |0.6058|±  |0.0160|
| - blimp_animate_subject_passive_filtered                            |      1|none  |     0|acc   |0.6223|±  |0.0162|
| - blimp_animate_subject_trans_filtered                              |      1|none  |     0|acc   |0.6511|±  |0.0157|
| - blimp_causative_filtered                                          |      1|none  |     0|acc   |0.5073|±  |0.0175|
| - blimp_complex_NP_island_filtered                                  |      1|none  |     0|acc   |0.4433|±  |0.0171|
| - blimp_coordinate_structure_constraint_complex_left_branch_filtered|      1|none  |     0|acc   |0.6490|±  |0.0159|
| - blimp_coordinate_structure_constraint_object_extraction_filtered  |      1|none  |     0|acc   |0.4605|±  |0.0162|
| - blimp_determiner_noun_agreement_1_filtered                        |      1|none  |     0|acc   |0.5156|±  |0.0164|
| - blimp_determiner_noun_agreement_2_filtered                        |      1|none  |     0|acc   |0.5070|±  |0.0164|
| - blimp_determiner_noun_agreement_irregular_1_filtered              |      1|none  |     0|acc   |0.5095|±  |0.0192|
| - blimp_determiner_noun_agreement_irregular_2_filtered              |      1|none  |     0|acc   |0.5671|±  |0.0173|
| - blimp_determiner_noun_agreement_with_adj_2_filtered               |      1|none  |     0|acc   |0.5186|±  |0.0163|
| - blimp_determiner_noun_agreement_with_adj_irregular_1_filtered     |      1|none  |     0|acc   |0.5627|±  |0.0185|
| - blimp_determiner_noun_agreement_with_adj_irregular_2_filtered     |      1|none  |     0|acc   |0.5333|±  |0.0172|
| - blimp_determiner_noun_agreement_with_adjective_1_filtered         |      1|none  |     0|acc   |0.5080|±  |0.0164|
| - blimp_distractor_agreement_relational_noun_filtered               |      1|none  |     0|acc   |0.5127|±  |0.0178|
| - blimp_distractor_agreement_relative_clause_filtered               |      1|none  |     0|acc   |0.5075|±  |0.0169|
| - blimp_drop_argument_filtered                                      |      1|none  |     0|acc   |0.6967|±  |0.0152|
| - blimp_ellipsis_n_bar_1_filtered                                   |      1|none  |     0|acc   |0.6160|±  |0.0172|
| - blimp_ellipsis_n_bar_2_filtered                                   |      1|none  |     0|acc   |0.3068|±  |0.0160|
| - blimp_existential_there_object_raising_filtered                   |      1|none  |     0|acc   |0.6305|±  |0.0169|
| - blimp_existential_there_quantifiers_1_filtered                    |      1|none  |     0|acc   |0.6484|±  |0.0157|
| - blimp_existential_there_quantifiers_2_filtered                    |      1|none  |     0|acc   |0.0922|±  |0.0096|
| - blimp_existential_there_subject_raising_filtered                  |      1|none  |     0|acc   |0.6991|±  |0.0151|
| - blimp_expletive_it_object_raising_filtered                        |      1|none  |     0|acc   |0.5955|±  |0.0178|
| - blimp_inchoative_filtered                                         |      1|none  |     0|acc   |0.4070|±  |0.0168|
| - blimp_intransitive_filtered                                       |      1|none  |     0|acc   |0.5323|±  |0.0169|
| - blimp_irregular_past_participle_adjectives_filtered               |      1|none  |     0|acc   |0.1935|±  |0.0128|
| - blimp_irregular_past_participle_verbs_filtered                    |      1|none  |     0|acc   |0.5446|±  |0.0162|
| - blimp_irregular_plural_subject_verb_agreement_1_filtered          |      1|none  |     0|acc   |0.4739|±  |0.0176|
| - blimp_irregular_plural_subject_verb_agreement_2_filtered          |      1|none  |     0|acc   |0.4910|±  |0.0167|
| - blimp_left_branch_island_echo_question_filtered                   |      1|none  |     0|acc   |0.5048|±  |0.0163|
| - blimp_left_branch_island_simple_question_filtered                 |      1|none  |     0|acc   |0.5510|±  |0.0161|
| - blimp_matrix_question_npi_licensor_present_filtered               |      1|none  |     0|acc   |0.1163|±  |0.0105|
| - blimp_npi_present_1_filtered                                      |      1|none  |     0|acc   |0.1023|±  |0.0101|
| - blimp_npi_present_2_filtered                                      |      1|none  |     0|acc   |0.1422|±  |0.0116|
| - blimp_only_npi_licensor_present_filtered                          |      1|none  |     0|acc   |0.6973|±  |0.0155|
| - blimp_only_npi_scope_filtered                                     |      1|none  |     0|acc   |0.3548|±  |0.0165|
| - blimp_passive_1_filtered                                          |      1|none  |     0|acc   |0.5631|±  |0.0171|
