|                                Tasks                                |Version|Filter|n-shot|Metric|Value |   |Stderr|
|---------------------------------------------------------------------|-------|------|-----:|------|-----:|---|-----:|
|blimp_supplement                                                     |N/A    |none  |     0|acc   |0.4612|±  |0.0068|
| - blimp_supplement_hypernym                                         |      1|none  |     0|acc   |0.5107|±  |0.0172|
| - blimp_supplement_qa_congruence_easy                               |      1|none  |     0|acc   |0.3281|±  |0.0592|
| - blimp_supplement_qa_congruence_tricky                             |      1|none  |     0|acc   |0.3818|±  |0.0379|
| - blimp_supplement_subject_aux_inversion                            |      1|none  |     0|acc   |0.5961|±  |0.0079|
| - blimp_supplement_turn_taking                                      |      1|none  |     0|acc   |0.4893|±  |0.0299|
|blimp_filtered                                                       |N/A    |none  |     0|acc   |0.5150|±  |0.0019|
| - blimp_adjunct_island_filtered                                     |      1|none  |     0|acc   |0.6422|±  |0.0157|
| - blimp_anaphor_gender_agreement_filtered                           |      1|none  |     0|acc   |0.5088|±  |0.0161|
| - blimp_anaphor_number_agreement_filtered                           |      1|none  |     0|acc   |0.5768|±  |0.0162|
| - blimp_animate_subject_passive_filtered                            |      1|none  |     0|acc   |0.5553|±  |0.0166|
| - blimp_animate_subject_trans_filtered                              |      1|none  |     0|acc   |0.6371|±  |0.0158|
| - blimp_causative_filtered                                          |      1|none  |     0|acc   |0.4853|±  |0.0175|
| - blimp_complex_NP_island_filtered                                  |      1|none  |     0|acc   |0.5260|±  |0.0172|
| - blimp_coordinate_structure_constraint_complex_left_branch_filtered|      1|none  |     0|acc   |0.7561|±  |0.0143|
| - blimp_coordinate_structure_constraint_object_extraction_filtered  |      1|none  |     0|acc   |0.3614|±  |0.0156|
| - blimp_determiner_noun_agreement_1_filtered                        |      1|none  |     0|acc   |0.5619|±  |0.0163|
| - blimp_determiner_noun_agreement_2_filtered                        |      1|none  |     0|acc   |0.5091|±  |0.0164|
| - blimp_determiner_noun_agreement_irregular_1_filtered              |      1|none  |     0|acc   |0.5125|±  |0.0192|
| - blimp_determiner_noun_agreement_irregular_2_filtered              |      1|none  |     0|acc   |0.4524|±  |0.0174|
| - blimp_determiner_noun_agreement_with_adj_2_filtered               |      1|none  |     0|acc   |0.5377|±  |0.0163|
| - blimp_determiner_noun_agreement_with_adj_irregular_1_filtered     |      1|none  |     0|acc   |0.5808|±  |0.0184|
| - blimp_determiner_noun_agreement_with_adj_irregular_2_filtered     |      1|none  |     0|acc   |0.4167|±  |0.0170|
| - blimp_determiner_noun_agreement_with_adjective_1_filtered         |      1|none  |     0|acc   |0.5209|±  |0.0164|
| - blimp_distractor_agreement_relational_noun_filtered               |      1|none  |     0|acc   |0.5228|±  |0.0178|
| - blimp_distractor_agreement_relative_clause_filtered               |      1|none  |     0|acc   |0.5258|±  |0.0169|
| - blimp_drop_argument_filtered                                      |      1|none  |     0|acc   |0.7283|±  |0.0147|
| - blimp_ellipsis_n_bar_1_filtered                                   |      1|none  |     0|acc   |0.7494|±  |0.0153|
| - blimp_ellipsis_n_bar_2_filtered                                   |      1|none  |     0|acc   |0.3454|±  |0.0165|
| - blimp_existential_there_object_raising_filtered                   |      1|none  |     0|acc   |0.6330|±  |0.0169|
| - blimp_existential_there_quantifiers_1_filtered                    |      1|none  |     0|acc   |0.3538|±  |0.0157|
| - blimp_existential_there_quantifiers_2_filtered                    |      1|none  |     0|acc   |0.5170|±  |0.0166|
| - blimp_existential_there_subject_raising_filtered                  |      1|none  |     0|acc   |0.6959|±  |0.0151|
| - blimp_expletive_it_object_raising_filtered                        |      1|none  |     0|acc   |0.6021|±  |0.0178|
| - blimp_inchoative_filtered                                         |      1|none  |     0|acc   |0.4339|±  |0.0170|
| - blimp_intransitive_filtered                                       |      1|none  |     0|acc   |0.5783|±  |0.0168|
| - blimp_irregular_past_participle_adjectives_filtered               |      1|none  |     0|acc   |0.4089|±  |0.0159|
| - blimp_irregular_past_participle_verbs_filtered                    |      1|none  |     0|acc   |0.4522|±  |0.0162|
| - blimp_irregular_plural_subject_verb_agreement_1_filtered          |      1|none  |     0|acc   |0.5224|±  |0.0176|
| - blimp_irregular_plural_subject_verb_agreement_2_filtered          |      1|none  |     0|acc   |0.5504|±  |0.0167|
| - blimp_left_branch_island_echo_question_filtered                   |      1|none  |     0|acc   |0.6114|±  |0.0158|
| - blimp_left_branch_island_simple_question_filtered                 |      1|none  |     0|acc   |0.7161|±  |0.0146|
| - blimp_matrix_question_npi_licensor_present_filtered               |      1|none  |     0|acc   |0.3122|±  |0.0152|
| - blimp_npi_present_1_filtered                                      |      1|none  |     0|acc   |0.5424|±  |0.0165|
| - blimp_npi_present_2_filtered                                      |      1|none  |     0|acc   |0.5711|±  |0.0164|
| - blimp_only_npi_licensor_present_filtered                          |      1|none  |     0|acc   |0.7937|±  |0.0136|
| - blimp_only_npi_scope_filtered                                     |      1|none  |     0|acc   |0.5675|±  |0.0171|
| - blimp_passive_1_filtered                                          |      1|none  |     0|acc   |0.5952|±  |0.0169|
| - blimp_passive_2_filtered                                          |      1|none  |     0|acc   |0.5847|±  |0.0164|
| - blimp_principle_A_c_command_filtered                              |      1|none  |     0|acc   |0.5328|±  |0.0162|
| - blimp_principle_A_case_1_filtered                                 |      1|none  |     0|acc   |0.6765|±  |0.0155|
| - blimp_principle_A_case_2_filtered                                 |      1|none  |     0|acc   |0.4437|±  |0.0164|
| - blimp_principle_A_domain_1_filtered                               |      1|none  |     0|acc   |0.2035|±  |0.0133|
| - blimp_principle_A_domain_2_filtered                               |      1|none  |     0|acc   |0.5333|±  |0.0165|
