|                 Tasks                  |Version|Filter|n-shot|Metric|Value |   |Stderr|
|----------------------------------------|-------|------|-----:|------|-----:|---|-----:|
|ewok_filtered                           |N/A    |none  |     0|acc   |0.6536|±  |0.0050|
| - ewok_agent-properties_filtered       |      1|none  |     0|acc   |0.7733|±  |0.0089|
| - ewok_material-dynamics_filtered      |      1|none  |     0|acc   |0.8273|±  |0.0136|
| - ewok_material-properties_filtered    |      1|none  |     0|acc   |0.6059|±  |0.0376|
| - ewok_physical-dynamics_filtered      |      1|none  |     0|acc   |0.5000|±  |0.0458|
| - ewok_physical-interactions_filtered  |      1|none  |     0|acc   |0.6439|±  |0.0203|
| - ewok_physical-relations_filtered     |      1|none  |     0|acc   |0.8289|±  |0.0132|
| - ewok_quantitative-properties_filtered|      1|none  |     0|acc   |0.5127|±  |0.0283|
| - ewok_social-interactions_filtered    |      1|none  |     0|acc   |0.5476|±  |0.0291|
| - ewok_social-properties_filtered      |      1|none  |     0|acc   |0.5091|±  |0.0276|
| - ewok_social-relations_filtered       |      1|none  |     0|acc   |0.7720|±  |0.0107|
| - ewok_spatial-relations_filtered      |      1|none  |     0|acc   |0.6694|±  |0.0213|

|   Groups    |Version|Filter|n-shot|Metric|Value |   |Stderr|
|-------------|-------|------|-----:|------|-----:|---|-----:|
|ewok_filtered|N/A    |none  |     0|acc   |0.6536|±  | 0.005|
